iter	Passed	Remaining
399	43036	153100
400	43156	153038
401	43268	152945
402	43378	152846
403	43484	152734
404	43594	152633
405	43711	152560
406	43819	152452
407	43935	152375
408	44054	152305
409	44177	152251
410	44296	152181
411	44400	152060
412	44507	151949
413	44625	151878
414	44730	151759
415	44852	151699
416	44961	151597
417	45085	151543
418	45181	151396
419	45302	151331
420	45406	151209
421	45519	151119
422	45635	151039
423	45751	150958
424	45869	150882
425	46053	151026
426	46150	150879
427	46251	150748
428	46360	150645
429	46465	150528
430	46573	150419
431	46691	150342
432	46800	150238
433	46908	150128
434	47022	150040
435	47121	149903
436	47225	149781
437	47328	149656
438	47434	149542
439	47540	149428
440	47637	149284
441	47739	149159
442	47844	149041
443	47945	148913
444	48054	148806
445	48160	148692
446	48267	148583
447	48370	148460
448	48474	148337
449	48579	148220
450	48691	148126
451	48810	148052
452	48920	147950
453	49019	147815
454	49124	147697
455	49229	147579
456	49330	147451
457	49434	147332
458	49546	147235
459	49655	147130
460	49756	147002
461	49854	146865
462	49963	146761
463	50072	146657
464	50182	146554
465	50291	146450
466	50403	146354
467	50511	146245
468	50614	146123
469	50723	146018
470	50827	145900
471	50927	145768
472	51032	145654
473	51131	145518
474	51236	145403
475	51335	145272
476	51433	145134
477	51669	145386
478	51775	145275
479	51880	145157
480	52013	145119
481	52139	145059
482	52254	144971
483	52371	144887
484	52492	144813
485	52611	144734
486	52721	144632
487	52843	144561
488	52959	144475
489	53072	144378
490	53193	144306
491	53313	144228
492	53432	144147
493	53542	144044
494	53656	143952
495	53770	143857
496	53888	143775
497	54006	143690
498	54125	143612
499	54248	143540
500	54366	143457
501	54484	143374
502	54588	143253
503	54704	143164
504	54806	143040
505	54910	142917
506	55008	142784
507	55111	142661
508	55211	142529
509	55316	142412
510	55417	142284
511	55512	142143
512	55610	142007
513	55704	141862
514	55801	141726
515	55906	141607
516	56004	141472
517	56108	141355
518	56212	141236
519	56307	141093
520	56408	140966
521	56511	140844
522	56607	140706
523	56712	140591
524	56822	140486
525	56930	140379
526	57039	140270
527	57145	140157
528	57245	140029
529	57349	139910
530	57453	139792
531	57554	139667
532	57654	139540
533	57763	139432
534	57863	139304
535	57973	139201
536	58087	139108
537	58201	139013
538	58311	138908
539	58420	138802
540	58532	138702
541	58638	138589
542	58739	138465
543	58845	138350
544	58950	138235
545	59055	138120
546	59154	137991
547	59256	137867
548	59349	137726
549	59451	137602
550	59563	137504
551	59673	137399
552	59773	137274
553	59874	137149
554	59968	137008
555	60073	136893
556	60178	136779
557	60267	136628
558	60384	136540
559	60482	136410
560	60593	136308
561	60696	136189
562	60800	136073
563	60905	135958
564	61006	135832
565	61111	135719
566	61218	135609
567	61321	135489
568	61428	135379
569	61532	135264
570	61637	135148
571	61737	135022
572	61847	134920
573	61960	134823
574	62065	134709
575	62177	134609
576	62277	134485
577	62390	134387
578	62490	134263
579	62597	134153
580	62698	134029
581	62801	133911
582	62904	133792
583	63009	133680
584	63113	133563
585	63220	133453
586	63322	133333
587	63425	133214
588	63533	133108
589	63638	132992
590	63736	132864
591	63835	132739
592	63935	132614
593	64032	132484
594	64139	132374
595	64246	132266
596	64349	132147
597	64458	132043
598	64557	131917
599	64661	131801
600	64771	131698
601	64871	131575
602	64977	131463
603	65083	131351
604	65196	131255
605	65295	131128
606	65400	131017
607	65498	130889
608	65598	130766
609	65711	130668
610	65814	130552
611	65918	130436
612	66028	130333
613	66134	130221
614	66237	130105
615	66338	129985
616	66435	129856
617	66547	129756
618	66645	129630
619	66754	129525
620	66853	129400
621	66959	129289
622	67070	129188
623	67176	129077
624	67280	128962
625	67383	128847
626	67485	128728
627	67590	128615
628	67689	128491
629	67795	128380
630	67898	128265
631	67999	128145
632	68111	128045
633	68213	127926
634	68316	127810
635	68428	127711
636	68523	127580
637	68625	127463
638	68734	127358
639	68836	127239
640	68944	127134
641	69054	127030
642	69154	126909
643	69255	126788
644	69362	126680
645	69465	126563
646	69566	126445
647	69671	126334
648	69910	126464
649	70082	126472
650	70238	126450
651	70369	126385
652	70478	126278
653	70582	126163
654	70687	126050
655	70792	125937
656	70899	125827
657	71002	125711
658	71107	125597
659	71211	125484
660	71321	125379
661	71422	125259
662	71521	125135
663	71630	125030
664	71730	124907
665	71836	124797
666	71937	124677
667	72045	124569
668	72155	124465
669	72263	124357
670	72371	124250
671	72471	124129
672	72574	124012
673	72679	123899
674	72777	123776
675	72874	123649
676	72979	123537
677	73084	123425
678	73191	123315
679	73293	123197
680	73398	123084
681	73501	122969
682	73601	122848
683	73706	122736
684	73815	122630
685	73915	122510
686	74023	122402
687	74124	122284
688	74232	122175
689	74343	122073
690	74447	121960
691	74554	121851
692	74661	121742
693	74764	121627
694	74876	121526
695	74980	121412
696	75079	121290
697	75176	121166
698	75291	121070
699	75399	120962
700	75500	120844
701	75599	120721
702	75700	120603
703	75803	120489
704	75904	120371
705	76006	120254
706	76118	120153
707	76226	120045
708	76328	119929
709	76429	119811
710	76529	119692
711	76631	119574
712	76736	119464
713	76846	119360
714	76958	119258
715	77072	119160
716	77174	119044
717	77281	118935
718	77385	118823
719	77482	118699
720	77587	118587
721	77690	118472
722	77798	118365
723	77914	118270
724	78015	118153
725	78125	118049
726	78240	117952
727	78341	117835
728	78449	117728
729	78552	117613
730	78658	117502
731	78767	117398
732	78878	117296
733	78987	117189
734	79084	117066
735	79188	116953
736	79293	116841
737	79390	116719
738	79490	116600
739	79593	116486
740	79699	116376
741	79796	116253
742	79898	116138
743	80005	116029
744	80111	115919
745	80219	115812
746	80314	115687
747	80416	115571
748	80518	115456
749	80625	115347
750	80732	115239
751	80835	115125
752	80944	115020
753	81053	114915
754	81160	114807
755	81262	114692
756	81368	114582
757	81480	114480
758	81585	114370
759	81681	114245
760	81788	114137
761	81898	114035
762	82006	113927
763	82112	113818
764	82218	113708
765	82330	113607
766	82445	113510
767	82544	113391
768	82659	113293
769	82769	113190
770	82873	113077
771	82975	112962
772	83078	112849
773	83185	112741
774	83286	112624
775	83382	112502
776	83484	112387
777	83583	112267
778	83683	112150
779	83787	112038
780	83898	111936
781	84011	111835
782	84113	111720
783	84220	111613
784	84325	111502
785	84432	111394
786	84528	111272
787	84643	111174
788	84744	111059
789	84843	110941
790	84944	110825
791	85058	110726
792	85162	110614
793	85273	110511
794	85376	110399
795	85483	110290
796	85589	110181
797	85693	110069
798	85788	109947
799	85893	109836
800	86003	109732
801	86113	109627
802	86219	109519
803	86321	109405
804	86428	109296
805	86528	109180
806	86646	109086
807	86746	108969
