iter	Logloss
0	0.6882863168
1	0.6840987944
2	0.6795737531
3	0.67518419
4	0.6712517267
5	0.6679399446
6	0.6643871867
7	0.6611384678
8	0.6582344487
9	0.6554369536
10	0.6528023692
11	0.6503366654
12	0.6479671598
13	0.6458146496
14	0.6438036822
15	0.6418122577
16	0.639952479
17	0.6381623456
18	0.6364561707
19	0.634795379
20	0.6333613369
21	0.6318115436
22	0.6305112358
23	0.6290560269
24	0.6277584153
25	0.6265870785
26	0.6255386677
27	0.6244389255
28	0.6233887514
29	0.6224185674
30	0.6214061538
31	0.6205851322
32	0.6197305641
33	0.6189113059
34	0.6180239166
35	0.6172924135
36	0.616529469
37	0.6157923993
38	0.6150702296
39	0.6143299749
40	0.6136892626
41	0.6130165579
42	0.6124250402
43	0.6118217985
44	0.6112948191
45	0.610701914
46	0.6101942725
47	0.6096817522
48	0.6091808399
49	0.6086803279
50	0.6082460029
51	0.6077408448
52	0.6073461409
53	0.6068284099
54	0.6063968581
55	0.6059498387
56	0.6055294438
57	0.6051507327
58	0.6048393865
59	0.6043793921
60	0.6040044808
61	0.6036463793
62	0.6032447827
63	0.6028626807
64	0.6025487619
65	0.6022172792
66	0.6019102819
67	0.6015688735
68	0.601299745
69	0.600952241
70	0.6006455265
71	0.6002631109
72	0.5998573036
73	0.5995604649
74	0.5992334675
75	0.5989447226
76	0.5986418164
77	0.5983736672
78	0.5980088375
79	0.5977265168
80	0.5974312663
81	0.5971216491
82	0.5968904521
83	0.5965456541
84	0.5962976939
85	0.5960782276
86	0.5958484832
87	0.5956168264
88	0.5953655595
89	0.595148816
90	0.5948846833
91	0.5946841005
92	0.5944624711
93	0.5942190955
94	0.5938796261
95	0.5936807448
96	0.5934864749
97	0.5932376007
98	0.5929789456
99	0.5927891649
100	0.5925895483
101	0.5923523269
102	0.5921722035
103	0.591985632
104	0.5918082343
105	0.5916420275
106	0.5914669473
107	0.5912951102
108	0.5911374217
109	0.5909927904
110	0.5907564071
111	0.5906266809
112	0.5904138792
113	0.5902711034
114	0.5901088182
115	0.589964213
116	0.5898234707
117	0.5896770391
118	0.5894698629
119	0.5892816183
120	0.5891239247
121	0.5889542655
122	0.5888227725
123	0.5886849737
124	0.5885418455
125	0.5884051086
126	0.588255014
127	0.5881400455
128	0.5880039709
129	0.5878584122
130	0.587656842
131	0.5875196909
132	0.5873957815
133	0.5872823117
134	0.587139851
135	0.5870297854
136	0.5868792756
137	0.5867409168
138	0.5866302436
139	0.5865389569
140	0.5864127777
141	0.5862135546
142	0.5860769228
143	0.5859194466
144	0.5857906899
145	0.5856924606
146	0.5855633482
147	0.5854396893
148	0.5853408272
149	0.5852079281
150	0.5850772227
151	0.5849860813
152	0.5848917128
153	0.5847954347
154	0.5846591703
155	0.584542043
156	0.584401281
157	0.5843059879
158	0.5841140006
159	0.5840272128
160	0.5839387414
161	0.5838335626
162	0.5837490955
163	0.583656256
164	0.5835640767
165	0.583451212
166	0.5833181571
167	0.5832285415
168	0.5831427185
169	0.5830706114
170	0.5829785702
171	0.5828835807
172	0.582824128
173	0.5827449749
174	0.582650213
175	0.5825823567
176	0.5823926469
177	0.5823036622
178	0.5822294054
179	0.5821271028
180	0.5820151908
181	0.5819127864
182	0.5818512667
183	0.5817677372
184	0.5816535406
185	0.5815672348
186	0.5814944223
187	0.5814185531
188	0.5813279503
189	0.5812606423
190	0.5811321455
191	0.5809775816
192	0.5808877345
193	0.5808229375
194	0.5807089966
195	0.5806517997
196	0.5805741814
197	0.5805138697
198	0.5804520801
199	0.5803919625
200	0.5802844173
201	0.5801840113
202	0.5800709899
203	0.5799623141
204	0.5799008834
205	0.5798161944
206	0.5797553324
207	0.5796775618
208	0.5796136153
209	0.5795574568
210	0.5794972095
211	0.5794294215
212	0.5793235764
213	0.5792346241
214	0.5791488275
215	0.5790718219
216	0.5790017705
217	0.5789447787
218	0.5788700235
219	0.5787939318
220	0.5787319048
221	0.5786529745
222	0.5785856944
223	0.5785204046
224	0.5784681804
225	0.578384938
226	0.5783160425
227	0.5782134426
228	0.5780972459
229	0.5780412054
230	0.5779406816
231	0.5778725926
232	0.5778261719
233	0.5777605127
234	0.5777100062
235	0.5776561858
236	0.5775811493
237	0.5775304974
238	0.5774796562
239	0.577423097
240	0.5773645314
241	0.5773243025
242	0.5772846422
243	0.5772353119
244	0.5771885627
245	0.5771246266
246	0.577067829
247	0.577012456
248	0.5769777721
249	0.5769148198
250	0.5768778724
251	0.5768071283
252	0.5767533725
253	0.5767079483
254	0.5766037642
255	0.5765583575
256	0.5764882508
257	0.5764488916
258	0.5763841377
259	0.5763154473
260	0.5762580224
261	0.5762006364
262	0.5761568522
263	0.576070003
264	0.576029929
265	0.5759607385
266	0.5759034042
267	0.5758103479
268	0.5757730257
269	0.5757425372
270	0.5757017899
271	0.5756672585
272	0.5756177647
273	0.5755732537
274	0.5755006474
275	0.5754578903
276	0.5754118136
277	0.5753416382
278	0.5753093989
279	0.5752382942
280	0.5751872151
281	0.5751444142
282	0.5750895352
283	0.5750440913
284	0.5749840669
285	0.5749404387
286	0.5749019132
287	0.5748449716
288	0.5747924974
289	0.5747526772
290	0.5747250539
291	0.5746801612
292	0.5746353293
293	0.5745827977
294	0.5745358776
295	0.5744825183
296	0.574417541
297	0.5743731566
298	0.5743053114
299	0.5742610372
300	0.5742197927
301	0.5741690942
302	0.5741105626
303	0.5740439138
304	0.5739956625
305	0.5739544139
306	0.5738913867
307	0.5738412946
308	0.5737901945
309	0.5737414742
310	0.5736865116
311	0.5736490765
312	0.5736114181
313	0.5735654413
314	0.5735278543
315	0.5734859752
316	0.5734513644
317	0.5734207373
318	0.5733752274
319	0.5733407621
320	0.5733056682
321	0.5732440779
322	0.5731860823
323	0.573151066
324	0.5731078858
325	0.5730688547
326	0.5730187705
327	0.5729747661
328	0.5729495161
329	0.5729027408
330	0.5728626777
331	0.5728008191
332	0.5727306852
333	0.5726873259
334	0.572660537
335	0.5725988989
336	0.5725411229
337	0.5725045203
338	0.5724495643
339	0.5724151689
340	0.5723628965
341	0.5723161936
342	0.5722659395
343	0.5722173181
344	0.5721789445
345	0.5721507996
346	0.5721047029
347	0.572028598
348	0.5719924155
349	0.5719538421
350	0.5719192137
351	0.5718353714
352	0.5717889506
353	0.5717476476
354	0.5717030472
355	0.571661123
356	0.5716266262
357	0.5715804609
358	0.5715255961
359	0.571490228
360	0.5714561382
361	0.5714103893
362	0.5713657084
363	0.571327757
364	0.5712759718
365	0.5712201111
366	0.5711830215
367	0.5711485533
368	0.5710952571
369	0.5710389291
370	0.5709746926
371	0.5708967317
372	0.5708420457
373	0.5707857972
374	0.5707520495
375	0.5706948765
376	0.5706420036
377	0.5705678312
378	0.5705206404
379	0.5704819624
380	0.5704182792
381	0.5703831155
382	0.5703085027
383	0.5702566433
384	0.5702213259
385	0.5701530157
386	0.5700999473
387	0.5700250191
388	0.5699742381
389	0.5698959546
390	0.5698423487
391	0.5697830691
392	0.5697390354
393	0.5697003572
394	0.5696418478
395	0.5696026302
396	0.5695529377
397	0.5695001737
398	0.5694591572
399	0.5693896847
400	0.569348308
401	0.5692876899
402	0.5692403688
403	0.5692028489
404	0.5691398379
405	0.5690979741
406	0.569047469
407	0.5689893799
408	0.5689145635
409	0.5688648516
410	0.5688177829
411	0.5687741771
412	0.5687091476
413	0.5686602831
414	0.5686205928
415	0.5685629842
416	0.5685131164
417	0.5684658921
418	0.5684095809
419	0.5683707656
420	0.5683233365
421	0.5682697318
422	0.5682221188
423	0.5681725719
424	0.5681181829
425	0.5680526755
426	0.5680020995
427	0.567953426
428	0.5678933626
429	0.5678533936
430	0.5678045806
431	0.5677429167
432	0.5676890443
433	0.5676455076
434	0.5675884086
435	0.5675449106
436	0.5674873825
437	0.5674412847
438	0.5673958695
439	0.567356541
440	0.5673068591
441	0.5672560596
442	0.5672072562
443	0.5671593572
444	0.5671036319
445	0.567057851
446	0.5670057991
447	0.5669554139
448	0.5669155754
449	0.5668785029
450	0.5668343333
451	0.5667880798
452	0.5667297831
453	0.5666819272
454	0.5666319058
455	0.566557044
456	0.5665106605
457	0.5664725396
458	0.5664249325
459	0.5663708841
460	0.5663331423
461	0.5662841383
462	0.5662411613
463	0.5662028129
464	0.5661617108
465	0.5661138288
466	0.566073362
467	0.5660260313
468	0.565985868
469	0.5659463177
470	0.5659076827
471	0.5658662466
472	0.5658246759
473	0.5657841934
474	0.5657442699
475	0.5656945755
476	0.5656574372
477	0.5656023897
478	0.5655436621
479	0.5654908772
480	0.5654526146
481	0.5654096421
482	0.5653682199
483	0.5653144792
484	0.565271229
485	0.5652278221
486	0.565184651
487	0.5651429771
488	0.5651074158
489	0.565069958
490	0.5649935876
491	0.5649605834
492	0.5649162052
493	0.5648716048
494	0.5648316273
495	0.5647808246
496	0.5647335009
497	0.5646950561
498	0.5646487101
499	0.5646064078
500	0.5645689439
501	0.5645198895
502	0.5644858214
503	0.5644512417
504	0.5644131931
505	0.5643751491
506	0.56434071
507	0.5642984559
508	0.5642694148
509	0.5642278098
510	0.5641905484
511	0.5641453941
512	0.5641110609
513	0.5640754464
514	0.5640353237
515	0.5639999407
516	0.5639563115
517	0.5639078613
518	0.5638643916
519	0.5638264639
520	0.5637789916
521	0.5637396196
522	0.5636995918
523	0.5636605199
524	0.5636289494
525	0.5635843071
526	0.5635452583
527	0.5635102707
528	0.5634786751
529	0.5634497857
530	0.5634137392
531	0.5633728099
532	0.5633333003
533	0.5632881582
534	0.5632478513
535	0.5632156122
536	0.5631669839
537	0.5631193024
538	0.5630824472
539	0.5630461503
540	0.5630101644
541	0.5629718309
542	0.562942242
543	0.5629089021
544	0.5628668405
545	0.5628328833
546	0.5627972136
547	0.5627622548
548	0.562726434
549	0.5626800541
550	0.5626406078
551	0.5625951713
552	0.5625587714
553	0.5625122234
554	0.5624823121
555	0.5624419336
556	0.5623952499
557	0.5623593015
558	0.5623172618
559	0.5622902929
560	0.5622587191
561	0.5622278288
562	0.5621849344
563	0.5621540263
564	0.5621157024
565	0.5620846329
566	0.5620522108
567	0.5620202612
568	0.5619763843
569	0.5619307348
570	0.5618931346
571	0.5618638714
572	0.5618320216
573	0.5617966025
574	0.5617549875
575	0.5617200939
576	0.561681533
577	0.5616382963
578	0.5616088057
579	0.561574201
580	0.5615454672
581	0.5615108162
582	0.5614720652
583	0.56143892
584	0.5613919741
585	0.5613573459
586	0.5613292895
587	0.5612983692
588	0.5612574649
589	0.5612147347
590	0.5611743227
591	0.5611439832
592	0.5610845998
593	0.5610345511
594	0.5609839332
595	0.5609446013
596	0.5609108018
597	0.5608797989
598	0.5608484726
599	0.560819354
600	0.5607703879
601	0.5607369847
602	0.5607027268
603	0.5606650288
604	0.5606322159
605	0.5606044846
606	0.5605661995
607	0.5605322457
608	0.5604880719
609	0.560447437
610	0.5604181777
611	0.5603787696
612	0.5603459071
613	0.5603072845
614	0.5602747907
615	0.5602434376
616	0.5602157431
617	0.5601668569
618	0.560133729
619	0.5601101185
620	0.5600810863
621	0.5600546149
622	0.5600223894
623	0.5599873119
624	0.55994873
625	0.5599140258
626	0.5598646649
627	0.5598338803
628	0.5597838925
629	0.5597527046
630	0.5597148124
631	0.5596870976
632	0.5596584444
633	0.5596293024
634	0.5595975059
635	0.559565634
636	0.559533722
637	0.5594607131
638	0.5594236786
639	0.5593923118
640	0.5593498318
641	0.5593164923
642	0.5592813369
643	0.559254629
644	0.5592176301
645	0.5591842547
646	0.5591489005
647	0.5591182929
648	0.5590868911
649	0.5590554183
650	0.5590262135
651	0.5589872732
652	0.5589574242
653	0.5589317827
654	0.5588989878
655	0.558868406
656	0.5588316879
657	0.5588031354
658	0.5587712427
659	0.5587403742
660	0.5587060556
661	0.5586693232
662	0.5586389475
663	0.5586021864
664	0.558562176
665	0.5585349845
666	0.5585002302
667	0.5584662325
668	0.5584337711
669	0.5584029998
670	0.5583654038
671	0.5583331468
672	0.5583006661
673	0.5582593985
674	0.5582305583
675	0.5581974434
676	0.5581640098
677	0.5581347174
678	0.5581085421
679	0.5580857114
680	0.5580536728
681	0.5580243958
682	0.5580001051
683	0.5579672045
684	0.557898841
685	0.5578634943
686	0.5578339145
687	0.5578092132
688	0.5577805755
689	0.5577491805
690	0.5577226933
691	0.5576825239
692	0.5576497519
693	0.5576190631
694	0.5575724023
695	0.5575321421
