feature,lgb_shap_mean,xgb_shap_mean,cb_shap_mean,ensemble_shap
NONLIVINGAPARTMENTS_AVG,0.005372461130449892,0.0037352245,0.0007891018248500217,0.0032989291462782026
APARTMENTS_AVG,0.0037543590066567902,0.003382993,0.0027503716557483507,0.003295907864371819
NONLIVINGAREA_AVG,0.005230430668984377,0.0021958384,0.001625182670974803,0.003017150571037861
COMMONAREA_MODE,0.0044546815367454175,0.0032925585,0.0012507721285436862,0.0029993373824019633
ENTRANCES_AVG,0.001963181399688161,0.003947972,0.0029923074825505573,0.002967820245532543
FONDKAPREMONT_MODE,0.0028616776812822814,0.003009394,0.0030248241958975145,0.0029652986404121104
LIVE_CITY_NOT_WORK_CITY,0.005234312475375695,0.0029341339,0.0006176594283249437,0.0029287019235008324
LANDAREA_MODE,0.0027925518243946275,0.0038011775,0.002152390122359134,0.0029153731451312375
REGION_RATING_CLIENT,0.0015125000398599558,0.0011317108,0.005668096774859776,0.002770769214644331
LIVINGAREA_AVG,0.001736247380138022,0.0033565066,0.0029151167582777806,0.0026692902402551135
TOTALAREA_MODE,0.003253040227387372,0.0026813808,0.001904444555002037,0.0026129552062275035
YEARS_BEGINEXPLUATATION_AVG,0.002766964110963615,0.0043212604,0.0006998727365588512,0.002596032408429056
FLOORSMAX_AVG,0.0036326534144568274,0.0018369869,0.0023174916852046336,0.002595710654238599
BASEMENTAREA_MODE,0.002481807550195791,0.0030264158,0.0018406520726217835,0.0024496251498567854
LANDAREA_MEDI,0.0017376177936108518,0.0028194275,0.002519872971796606,0.0023589727624356003
LIVINGAPARTMENTS_MEDI,0.0028105444590315865,0.0019711473,0.001997473275427621,0.0022597216634770785
COMMONAREA_AVG,0.0021608730417969975,0.0021307545,0.002239697504517203,0.0021771083570520347
CONTACT_COUNT,0.0030188849243460063,0.0018272677,0.0015229169889240167,0.0021230232034503307
LANDAREA_AVG,0.00234657101316314,0.0013787745,0.0021861590420224077,0.001970501527238187
AMT_REQ_CREDIT_BUREAU_MON,0.0017309076693931213,0.0027208908,0.0013295964041617045,0.0019271316243640424
ENTRANCES_MODE,0.003378793144778516,0.0018213729,0.0004527421681597949,0.0018843027345944174
FLOORSMIN_AVG,0.0007499815256642077,0.0019368972,0.002906494803640616,0.0018644578330344788
NAME_TYPE_SUITE,0.002232932008186947,0.0013505829,0.0019851216562685385,0.001856212196996534
BASEMENTAREA_MEDI,0.002442453666436555,0.0024364155,0.0006406918484057352,0.0018398536799985232
NONLIVINGAREA_MEDI,0.002752862307556199,0.0008603649,0.0017503519031751525,0.001787859695185411
BUREAU_CREDIT_DAY_OVERDUE_max,0.0015800238168836172,0.0022467438,0.001531705509935076,0.0017861576978032152
LIVINGAREA_MODE,0.0020022058805722197,0.0016627846,0.0014777602817082954,0.0017142502558558433
FLOORSMAX_MODE,0.00028363771569797484,0.0027718057,0.0019864079108765954,0.0016806171218682706
ELEVATORS_AVG,0.002825086144756225,0.0010431692,0.001162343790681849,0.001676866370858463
YEARS_BUILD_MEDI,0.0013091973052315965,0.0018998759,0.0017976142767543676,0.001668895838430131
EMERGENCYSTATE_MODE,0.002334023382161338,0.0006095651,0.0019069559878410233,0.0016168481629319196
LIVINGAPARTMENTS_AVG,0.0017663716697679456,0.001228164,0.0018291418463238333,0.0016078924887456744
CNT_FAM_MEMBERS,0.0016963512731773005,0.0012834737,0.001824091655090631,0.0016013055375734685
FLAG_OWN_REALTY,0.0026572351410461686,0.00070642226,0.0011728730873939686,0.0015121768291799728
AMT_REQ_CREDIT_BUREAU_WEEK,0.0016731154243418136,0.0015534954,0.0012707319156702284,0.0014991142515223717
FLAG_EMP_PHONE,0.0,0.00044612735,0.0039055611627850408,0.001450562837354333
ELEVATORS_MEDI,0.00022787208531228353,0.0025269666,0.0013013060030050776,0.0013520482368055472
LIVINGAPARTMENTS_MODE,0.0013992456676841663,0.00161323,0.0008339915573529914,0.00128215573462226
REG_REGION_NOT_LIVE_REGION,0.0013008725863871424,0.0017456689,0.00047303517714885544,0.0011731922339731527
REG_CITY_NOT_WORK_CITY,0.0012849379577597358,0.00065319374,0.0012450068524510233,0.001061046183306424
YEARS_BUILD_AVG,0.0014018220956687948,0.0014283202,0.000245848319659075,0.001025330201444832
NONLIVINGAPARTMENTS_MODE,0.000746049207013353,0.0012907818,0.0009924870482439516,0.0010097726759842622
FLAG_DOCUMENT_6,0.0008691448107532253,0.0015254214,0.0003767472418353912,0.0009237711488746123
FLAG_EMAIL,0.0001428396592030505,0.0015083173,0.001033070817275992,0.000894742594061828
FLOORSMIN_MODE,0.0005573843758919226,0.0012852604,0.0006411420770192317,0.0008279289599076762
NONLIVINGAPARTMENTS_MEDI,0.0004303945569182734,0.00071330596,0.0010303216176522204,0.0007246740432858543
FLAG_DOCUMENT_18,0.0,0.0012007833,0.00042880130096861876,0.0005431948667502707
HOUSETYPE_MODE,0.001216767905935152,0.00014537969,0.0,0.000454049197554424
REG_REGION_NOT_WORK_REGION,0.0003079029533500217,0.00053612253,0.00019614829339898498,0.0003467245935691373
FLAG_DOCUMENT_8,0.0007911556626712333,0.00022378814,0.0,0.0003383146014699523
LIVE_REGION_NOT_WORK_REGION,0.00026529745885974556,0.00044586946,0.0001998660598752651,0.00030367765965709726
ELEVATORS_MODE,0.000161533911829339,0.00039844387,0.0003432574626487729,0.0003010784135888004
FLAG_DOCUMENT_11,0.0001247020202617115,0.00057351904,0.00013308591319449573,0.0002771023228995684
AMT_REQ_CREDIT_BUREAU_DAY,0.00024301023918770775,0.00034868307,0.0002361023990167364,0.000275931902166795
FLAG_DOCUMENT_14,0.0,0.00080255803,0.0,0.0002675193439548214
FLAG_DOCUMENT_13,0.00010312557166275465,0.00047667028,5.870258295184047e-05,0.00021283281048462704
HAS_EXT_SOURCE_2,0.0,0.000338008,0.00022488264192969406,0.0001876302096469727
FLAG_DOCUMENT_15,0.0,0.00023453658,0.00015335101889972342,0.00012929586604257658
FLAG_DOCUMENT_16,0.0,0.0,0.00031207090796095936,0.00010402363598698645
FLAG_DOCUMENT_9,0.0,1.1247334e-05,0.0,3.74911148052585e-06
FLAG_CONT_MOBILE,0.0,7.71266e-06,0.0,2.570886560230671e-06
FLAG_MOBIL,0.0,0.0,0.0,0.0
FLAG_DOCUMENT_17,0.0,0.0,0.0,0.0
FLAG_DOCUMENT_20,0.0,0.0,0.0,0.0
FLAG_DOCUMENT_21,0.0,0.0,0.0,0.0
FLAG_DOCUMENT_7,0.0,0.0,0.0,0.0
FLAG_DOCUMENT_2,0.0,0.0,0.0,0.0
FLAG_DOCUMENT_4,0.0,0.0,0.0,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,0.0,0.0,0.0
FLAG_DOCUMENT_19,0.0,0.0,0.0,0.0
FLAG_DOCUMENT_5,0.0,0.0,0.0,0.0
FLAG_DOCUMENT_10,0.0,0.0,0.0,0.0
FLAG_DOCUMENT_12,0.0,0.0,0.0,0.0
